0-100, *, 51744, Educated, *, NonMarried, Exec-managerial, Single, Orient, Male, 0, 0, 50-100, *, >50k
0-100, *, 313986, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 206667, Educated, *, Married, Prof-specialty, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 137018, Educated, *, NonMarried, Other-service, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 221832, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 214594, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 2653, 0, 50-100, *, <=50k
0-100, *, 115306, Educated, *, NonMarried, Exec-managerial, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 139660, Educated, *, Married, Sales, Single, Orient, Female, 0, 0, 0-50, *, <=50k
0-100, *, 195433, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 141758, Educated, *, NonMarried, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 313749, Educated, *, NonMarried, Prof-specialty, In-Family, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 187749, Educated, *, Married, Adm-clerical, In-Family, Orient, Male, 0, 0, 0-50, *, <=50k
0-100, *, 47929, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 87285, Educated, *, NonMarried, Other-service, In-Family, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 90523, Educated, *, Married, Transport-moving, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 313986, Educated, *, NonMarried, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 52386, Educated, *, NonMarried, Other-service, Single, Orient, Male, 0, 0, 0-50, *, <=50k
0-100, *, 171956, Educated, *, Married, Adm-clerical, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 282095, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 46786, Educated, *, Married, Sales, In-Family, Occident, Male, 9386, 0, 0-50, *, >50k
0-100, *, 52386, Educated, *, NonMarried, Other-service, Single, Orient, Male, 0, 0, 0-50, *, <=50k
0-100, *, 155981, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 10566, 0, 50-100, *, <=50k
0-100, *, 52386, Educated, *, NonMarried, Prof-specialty, Single, Orient, Male, 0, 0, 50-100, *, <=50k
0-100, *, 313749, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 250832, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 153602, Educated, *, Married, Other-service, In-Family, Occident, Male, 6767, 0, 50-100, *, <=50k
0-100, *, 175491, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 9386, 0, 50-100, *, >50k
0-100, *, 88991, Educated, *, Married, Exec-managerial, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
0-100, *, 51744, Educated, *, NonMarried, Other-service, Single, Orient, Male, 0, 2206, 50-100, *, <=50k
0-100, *, 84553, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 87372, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 20051, 0, 50-100, *, >50k
0-100, *, 82628, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 2964, 0, 0-50, *, <=50k
0-100, *, 40388, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 226968, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 227796, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 20051, 0, 50-100, *, >50k
0-100, *, 206291, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 68539, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 187097, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 149912, Educated, *, NonMarried, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 115364, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 166027, Educated, *, Married, Sales, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 98611, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 163685, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 172907, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 135839, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 188328, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 155057, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 132806, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 388384, Educated, *, Married, Prof-specialty, In-Family, Orient, Male, 0, 0, 0-50, *, <=50k
0-100, *, 241065, Educated, *, NonMarried, Prof-specialty, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 195507, Educated, *, Married, Protective-serv, Single, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 153183, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 2392, 50-100, *, >50k
0-100, *, 213866, Educated, *, Married, Exec-managerial, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 272248, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 240150, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 20051, 0, 50-100, *, >50k
0-100, *, 240491, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 71438, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 147729, Educated, *, Married, Other-service, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 120408, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 152148, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 130329, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 132870, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 4356, 0-50, *, <=50k
0-100, *, 364099, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 137018, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 100675, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 114670, Educated, *, Married, Priv-house-serv, Single, Orient, Female, 2062, 0, 0-50, *, <=50k
0-100, *, 98116, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 132204, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 193237, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 123959, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 1668, 0-50, *, <=50k
0-100, *, 136063, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 177408, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 2377, 0-50, *, >50k
0-100, *, 247232, Educated, *, Married, Exec-managerial, In-Family, Occident, Female, 2936, 0, 0-50, *, <=50k
0-100, *, 129338, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 122651, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 87518, Educated, *, NonMarried, Prof-specialty, Single, Occident, Male, 0, 1816, 50-100, *, <=50k
0-100, *, 202483, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 101771, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 157778, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 173488, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 86111, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 184335, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 252466, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 26865, Educated, *, NonMarried, Farming-fishing, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 562336, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 34340, Educated, *, Married, Farming-fishing, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 249983, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 20101, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 132728, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 225892, Educated, *, Married, Other-service, In-Family, Occident, Male, 1409, 0, 50-100, *, <=50k
0-100, *, 148623, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 146244, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, <=50k
0-100, *, 309272, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
0-100, *, 158319, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
0-100, *, 103684, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 84979, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 84616, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 266119, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
0-100, *, 124744, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 172220, Educated, *, Married, Priv-house-serv, Single, Occident, Female, 2964, 0, 0-50, *, <=50k
0-100, *, 97082, Educated, *, Married, Sales, Single, Occident, Male, 18481, 0, 50-100, *, >50k
0-100, *, 62176, Educated, *, Married, Exec-managerial, Single, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 183686, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
0-100, *, 333230, Educated, *, Married, Prof-specialty, Single, Occident, Male, 0, 0, 0-50, *, <=50k
0-100, *, 120707, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 20051, 0, 0-50, *, >50k
0-100, *, 121318, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
