90, *, 51744, Educated, *, NonMarried, Exec-managerial, Single, Orient, Male, 0, 0, 50-100, *, >50k
90, *, 313986, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
90, *, 206667, Educated, *, Married, Prof-specialty, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
90, *, 137018, Educated, *, NonMarried, Other-service, Single, Occident, Female, 0, 0, 50-100, *, <=50k
90, *, 221832, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
90, *, 214594, Educated, *, Married, Protective-serv, In-Family, Occident, Male, 2653, 0, 50-100, *, <=50k
90, *, 115306, Educated, *, NonMarried, Exec-managerial, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
90, *, 139660, Educated, *, Married, Sales, Single, Orient, Female, 0, 0, 0-50, *, <=50k
90, *, 195433, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
90, *, 141758, Educated, *, NonMarried, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
90, *, 313749, Educated, *, NonMarried, Prof-specialty, In-Family, Occident, Female, 0, 0, 0-50, *, <=50k
90, *, 187749, Educated, *, Married, Adm-clerical, In-Family, Orient, Male, 0, 0, 0-50, *, <=50k
90, *, 47929, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
90, *, 87285, Educated, *, NonMarried, Other-service, In-Family, Occident, Female, 0, 0, 0-50, *, <=50k
90, *, 90523, Educated, *, Married, Transport-moving, Single, Occident, Male, 0, 0, 50-100, *, <=50k
90, *, 313986, Educated, *, NonMarried, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
90, *, 52386, Educated, *, NonMarried, Other-service, Single, Orient, Male, 0, 0, 0-50, *, <=50k
90, *, 171956, Educated, *, Married, Adm-clerical, In-Family, Occident, Female, 0, 0, 50-100, *, <=50k
90, *, 282095, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
90, *, 46786, Educated, *, Married, Sales, In-Family, Occident, Male, 9386, 0, 0-50, *, >50k
90, *, 52386, Educated, *, NonMarried, Other-service, Single, Orient, Male, 0, 0, 0-50, *, <=50k
90, *, 155981, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 10566, 0, 50-100, *, <=50k
90, *, 52386, Educated, *, NonMarried, Prof-specialty, Single, Orient, Male, 0, 0, 50-100, *, <=50k
90, *, 313749, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
90, *, 250832, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
90, *, 153602, Educated, *, Married, Other-service, In-Family, Occident, Male, 6767, 0, 50-100, *, <=50k
90, *, 175491, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 9386, 0, 50-100, *, >50k
90, *, 88991, Educated, *, Married, Exec-managerial, In-Family, Occident, Female, 0, 0, 50-100, *, >50k
90, *, 51744, Educated, *, NonMarried, Other-service, Single, Orient, Male, 0, 2206, 50-100, *, <=50k
90, *, 84553, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
90, *, 87372, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 20051, 0, 50-100, *, >50k
90, *, 82628, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 2964, 0, 0-50, *, <=50k
90, *, 40388, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 0, 0, 50-100, *, <=50k
90, *, 226968, Educated, *, Married, Machine-op-inspct, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
90, *, 227796, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 20051, 0, 50-100, *, >50k
88, *, 206291, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
88, *, 68539, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
88, *, 187097, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
86, *, 149912, Educated, *, NonMarried, Adm-clerical, Single, Occident, Female, 0, 0, 50-100, *, <=50k
85, *, 115364, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 0-50, *, <=50k
85, *, 166027, Educated, *, Married, Sales, Single, Occident, Female, 0, 0, 50-100, *, <=50k
85, *, 98611, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
84, *, 163685, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 0, 0-50, *, <=50k
84, *, 172907, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
84, *, 135839, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
84, *, 188328, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 0-50, *, <=50k
84, *, 155057, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
84, *, 132806, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
84, *, 388384, Educated, *, Married, Prof-specialty, In-Family, Orient, Male, 0, 0, 0-50, *, <=50k
84, *, 241065, Educated, *, NonMarried, Prof-specialty, Single, Occident, Male, 0, 0, 50-100, *, <=50k
83, *, 195507, Educated, *, Married, Protective-serv, Single, Occident, Male, 0, 0, 50-100, *, <=50k
83, *, 153183, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 2392, 50-100, *, >50k
83, *, 213866, Educated, *, Married, Exec-managerial, Single, Occident, Male, 0, 0, 0-50, *, <=50k
83, *, 272248, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 0-50, *, <=50k
83, *, 240150, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 20051, 0, 50-100, *, >50k
82, *, 240491, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
82, *, 71438, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
82, *, 147729, Educated, *, Married, Other-service, Single, Occident, Male, 0, 0, 0-50, *, <=50k
82, *, 120408, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 0-50, *, <=50k
82, *, 152148, Educated, *, Married, Handlers-cleaners, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
82, *, 130329, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
82, *, 132870, Educated, *, Married, Exec-managerial, Single, Occident, Female, 0, 4356, 0-50, *, <=50k
81, *, 364099, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
81, *, 137018, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
81, *, 100675, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
81, *, 114670, Educated, *, Married, Priv-house-serv, Single, Orient, Female, 2062, 0, 0-50, *, <=50k
81, *, 98116, Educated, *, Married, Sales, Single, Occident, Male, 0, 0, 50-100, *, >50k
81, *, 132204, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
81, *, 193237, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
81, *, 123959, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 1668, 0-50, *, <=50k
81, *, 136063, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
81, *, 177408, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 2377, 0-50, *, >50k
81, *, 247232, Educated, *, Married, Exec-managerial, In-Family, Occident, Female, 2936, 0, 0-50, *, <=50k
81, *, 129338, Educated, *, Married, Transport-moving, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
81, *, 122651, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
80, *, 87518, Educated, *, NonMarried, Prof-specialty, Single, Occident, Male, 0, 1816, 50-100, *, <=50k
80, *, 202483, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
80, *, 101771, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
80, *, 157778, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 0-50, *, <=50k
80, *, 173488, Educated, *, Married, Adm-clerical, Single, Occident, Female, 0, 0, 0-50, *, <=50k
80, *, 86111, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
80, *, 184335, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
80, *, 252466, Educated, *, Married, Craft-repair, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
80, *, 26865, Educated, *, NonMarried, Farming-fishing, Single, Occident, Male, 0, 0, 0-50, *, <=50k
80, *, 562336, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
80, *, 34340, Educated, *, Married, Farming-fishing, Single, Occident, Male, 0, 0, 0-50, *, <=50k
80, *, 249983, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
80, *, 20101, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
80, *, 132728, Educated, *, NonMarried, Exec-managerial, Single, Occident, Male, 0, 0, 0-50, *, <=50k
80, *, 225892, Educated, *, Married, Other-service, In-Family, Occident, Male, 1409, 0, 50-100, *, <=50k
80, *, 148623, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
79, *, 146244, Educated, *, Married, Prof-specialty, Single, Occident, Female, 0, 0, 50-100, *, <=50k
79, *, 309272, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 50-100, *, >50k
79, *, 158319, Educated, *, Married, Other-service, Single, Occident, Female, 0, 0, 0-50, *, <=50k
79, *, 103684, Educated, *, Married, Farming-fishing, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
79, *, 84979, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
79, *, 84616, Educated, *, Married, Exec-managerial, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
79, *, 266119, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 50-100, *, <=50k
79, *, 124744, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
79, *, 172220, Educated, *, Married, Priv-house-serv, Single, Occident, Female, 2964, 0, 0-50, *, <=50k
79, *, 97082, Educated, *, Married, Sales, Single, Occident, Male, 18481, 0, 50-100, *, >50k
79, *, 62176, Educated, *, Married, Exec-managerial, Single, Occident, Male, 0, 0, 0-50, *, >50k
79, *, 183686, Educated, *, Married, Sales, In-Family, Occident, Male, 0, 0, 0-50, *, >50k
79, *, 333230, Educated, *, Married, Prof-specialty, Single, Occident, Male, 0, 0, 0-50, *, <=50k
79, *, 120707, Educated, *, Married, Prof-specialty, In-Family, Occident, Male, 20051, 0, 0-50, *, >50k
79, *, 121318, Educated, *, Married, Adm-clerical, In-Family, Occident, Male, 0, 0, 0-50, *, <=50k
